utterance_id,t_capture,t_vad_start,t_chunk_emit,t_asr_start,t_asr_end,t_stabilize,t_mt_start,t_mt_end,t_ui_render,latency_asr,latency_mt,latency_e2e
utt_000001,1770120438.918,1770120438.918,1770120439.558,1770120439.558,1770120446.325,1770120446.356,1770120446.356,1770120446.359,1770120446.398,6767.0,2.7,7480.2
utt_000003,1770120452.872,1770120452.872,0.000,1770120452.669,1770120452.866,1770120452.872,1770120452.872,1770120452.872,1770120452.909,0.0,0.0,37.3
utt_000001,1770120703.204,1770120703.204,1770120703.844,1770120703.844,1770120704.288,1770120704.314,1770120704.314,1770120704.947,1770120704.964,443.9,633.1,1759.8
utt_000002,1770120709.080,1770120709.080,1770120709.998,1770120709.998,1770120710.260,1770120710.274,1770120710.274,1770120710.367,1770120710.404,262.6,92.9,1324.3
utt_000003,1770120712.284,1770120712.284,1770120713.124,1770120713.124,1770120713.188,1770120713.204,1770120713.204,1770120713.314,1770120713.314,63.4,110.0,1030.0
utt_000004,1770120715.044,1770120715.044,1770120715.886,1770120715.886,1770120715.954,1770120715.963,1770120715.963,1770120715.963,1770120716.004,67.6,0.0,960.0
utt_000005,1770120719.433,1770120719.433,1770120720.644,1770120720.693,1770120720.740,1770120720.756,1770120720.756,1770120720.842,1770120720.842,95.7,85.9,1408.8
utt_000008,1770120740.117,1770120740.117,1770120742.084,1770120742.084,1770120742.154,1770120742.164,1770120742.164,1770120742.234,1770120742.244,70.0,69.8,2127.6
utt_000009,1770120744.805,1770120744.807,1770120745.724,1770120745.724,1770120745.796,1770120745.804,1770120745.804,1770120745.918,1770120745.964,71.8,113.4,1159.6
utt_000010,1770120747.361,1770120747.361,1770120748.406,1770120748.406,1770120748.483,1770120748.483,1770120748.483,1770120748.581,1770120748.594,77.1,97.1,1233.3
utt_000001,1770123349.982,1770123349.982,1770123350.622,1770123350.622,1770123351.712,1770123351.738,1770123351.738,1770123352.222,1770123352.260,1090.1,483.3,2278.6
utt_000002,1770123355.012,1770123355.012,1770123355.621,1770123355.621,1770123358.781,1770123358.821,1770123358.821,1770123360.281,1770123360.301,3160.0,1459.3,5289.0
utt_000003,1770123363.374,1770123363.374,1770123364.182,1770123364.182,1770123366.381,1770123366.381,1770123366.381,1770123366.516,1770123366.538,2198.5,134.9,3164.0
utt_000004,1770123372.222,1770123372.222,1770123373.142,1770123373.142,1770123375.043,1770123375.061,1770123375.061,1770123375.250,1770123375.260,1900.5,188.3,3038.0
utt_000005,1770123377.342,1770123377.342,1770123378.342,1770123378.342,1770123380.455,1770123380.455,1770123380.455,1770123380.598,1770123380.618,2112.9,143.3,3275.9
utt_000006,1770123382.622,1770123382.622,1770123383.542,1770123383.542,1770123385.454,1770123385.461,1770123385.461,1770123385.644,1770123385.654,1912.0,182.6,3032.6
utt_000007,1770123387.822,1770123387.824,1770123388.142,1770123388.142,1770123390.046,1770123390.051,1770123390.051,1770123390.221,1770123390.262,1903.7,170.0,2440.5
